Velocidad de entrada,Velocidad medida por el motor,Velocidad giroscopio
35,34.632000000000005,30.66
35,37.296,29.69
35,34.632000000000005,28.27
25,26.64,0.55
25,23.976000000000003,23.49
25,23.976000000000003,24.23
25,23.976000000000003,24.04
25,26.64,22.76
25,26.64,24.81
25,23.976000000000003,21.53
25,23.976000000000003,23.54
25,26.64,22.99
25,21.312,24.13
25,23.976000000000003,23.29
25,23.976000000000003,22.4
25,26.64,23.0
25,23.976000000000003,23.15
25,23.976000000000003,22.34
25,23.976000000000003,22.5
25,26.64,24.63
25,26.64,22.37
25,26.64,21.64
25,26.64,21.92
25,23.976000000000003,24.68
25,23.976000000000003,23.14
25,23.976000000000003,24.69
25,21.312,22.6
25,23.976000000000003,22.91
25,23.976000000000003,22.06
25,26.64,24.41
25,23.976000000000003,22.13
25,23.976000000000003,24.05
25,23.976000000000003,23.47
15,13.32,24.1
15,15.984000000000002,12.45
15,15.984000000000002,14.63
15,15.984000000000002,12.62
15,13.32,14.41
15,15.984000000000002,11.03
15,15.984000000000002,13.75
15,15.984000000000002,11.79
15,13.32,14.32
15,15.984000000000002,13.35
15,15.984000000000002,14.53
15,13.32,13.41
15,15.984000000000002,14.27
15,15.984000000000002,10.82
15,15.984000000000002,16.7
15,13.32,10.66
15,15.984000000000002,16.85
15,15.984000000000002,13.2
15,13.32,16.41
15,13.32,11.14
15,15.984000000000002,14.63
15,18.648,12.18
15,13.32,14.65
15,15.984000000000002,10.57
15,15.984000000000002,14.23
15,15.984000000000002,12.84
15,13.32,15.97
15,15.984000000000002,12.02
15,13.32,16.4
15,15.984000000000002,10.55
